Id,Start,Name,Impact,Currency
16fd4d81-c5f0-4563-946b-470acec87dfa,05/22/2012 08:30:00,Consumer Price Index (YoY),HIGH,GBP
b89d3ba1-c3f8-4cc9-8f9a-a2700b62315f,05/22/2012 08:30:00,Core Consumer Price Index (YoY),HIGH,GBP
3a16730d-79e1-43ff-9170-5d2d4eeb8e4e,05/23/2012 04:00:00,BoJ Interest Rate Decision,HIGH,JPY
202bea9f-fb23-4fbe-9447-f2325ca918fb,05/23/2012 08:30:00,Bank of England Minutes,HIGH,GBP
13d72434-2ff3-42e8-a35e-e786081c7842,05/24/2012 05:00:00,BoJ Monthly Economic Survey,HIGH,JPY
2d0cf1e4-16fd-4357-b91a-1111fb35f708,05/28/2012 00:00:00,Memorial Day,NONE,USD
38790dd2-bef9-4f0c-81c6-824033336101,05/31/2012 07:00:00,ECB's President Draghi speech,HIGH,EUR
d442d1f9-d255-47f4-bc11-60dbcc0db1a9,05/31/2012 13:00:00,Irish Stability Treaty Vote,HIGH,EUR
137b9979-20a0-4358-b08f-fd7c7f91b5fe,06/01/2012 12:30:00,Nonfarm Payrolls,HIGH,USD
77875881-6e51-4d56-8269-fa932aa52dd8,06/01/2012 12:30:00,Unemployment Rate,HIGH,USD
e47a6403-9756-4ab1-8979-c7943a47ee38,06/04/2012 00:00:00,Spring Bank Holiday,NONE,GBP
e1257413-0872-47d4-8967-e19e94c20adf,06/04/2012 09:00:00,Producer Price Index (YoY),HIGH,EUR
624cc47f-5d36-488f-aaac-7703745b515b,06/06/2012 11:45:00,ECB rate on main refinancing operations,HIGH,EUR
8eb93d44-73d9-46da-b786-3b6075f83951,06/06/2012 12:30:00,ECB Press Conference,HIGH,EUR
b037f571-8aa1-4db5-908d-f93d201e267d,06/07/2012 11:00:00,BoE Asset Purchase Facility,HIGH,GBP
d1719652-a431-4653-a93e-f4f178a67d55,06/07/2012 11:00:00,BoE Interest Rate Decision,HIGH,GBP
c6b89f7d-8c57-40f5-8421-d24c1616c896,06/07/2012 11:00:00,PBoC Interest Rate Decision,HIGH,CNY
6eb033ed-d25b-4454-ac28-8973761668cb,06/07/2012 14:00:00,Fed's Chair Bernanke testifies,HIGH,USD
9a8ea255-7f93-4639-a4e0-3b3d28ddb8db,06/08/2012 08:30:00,Consumer Inflation Expectations,HIGH,GBP
6ca0ab03-baa0-473f-b567-2f0f01edd053,06/09/2012 01:30:00,Consumer Price Index (YoY),HIGH,CNY
72b8f278-03cc-4fe2-b4e2-fd0c1d4c4c7e,06/09/2012 01:30:00,Producer Price Index (YoY),HIGH,CNY
38c1842d-52f0-4371-9f68-142d2a6ade78,06/14/2012 08:00:00,ECB Monthly Report,HIGH,EUR
25492690-48dd-45d8-a468-d4fd901023d8,06/14/2012 09:00:00,HICP (YoY),HIGH,EUR
a2296825-907f-47ac-9301-09182e82014d,06/14/2012 09:00:00,"HICP-X F,E,A,T (YoY)",HIGH,EUR
aee3b19d-6637-41b6-b9e8-07733d5a6447,06/14/2012 12:30:00,Consumer Price Index (YoY),HIGH,USD
4d66369d-7d61-46fa-b100-7094ff9b0ac6,06/14/2012 12:30:00,Consumer Price Index ex Food & Energy (YoY),HIGH,USD
